# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/work/geisingerlab/Mark/REF_GENOMES/17978-mff/NZ_CP012004.gtf" "-o" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/featurecounts/counts.txt" "-p" "-t" "transcript" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam
gene-ACX60_RS20020	NZ_CP012004.1	1953534	1953701	+	168	3	4	14	4	3	4	3	5	12
gene-ACX60_RS09220	NZ_CP012004.1	1953904	1954731	-	828	84	120	197	64	36	110	98	116	138
gene-ACX60_RS19810	NZ_CP012004.1	1954929	1955318	+	390	24	30	48	33	16	33	96	83	64
gene-ACX60_RS09230	NZ_CP012004.1	1955466	1956347	+	882	224	292	344	247	206	259	260	301	308
gene-ACX60_RS09235	NZ_CP012004.1	1956593	1957297	+	705	56	88	107	38	48	45	52	35	47
gene-ACX60_RS09240	NZ_CP012004.1	1957299	1957940	+	642	138	229	215	131	135	142	117	132	155
gene-ACX60_RS09245	NZ_CP012004.1	1958057	1959466	+	1410	127	199	280	129	118	155	151	158	199
gene-ACX60_RS09250	NZ_CP012004.1	1959532	1960704	+	1173	956	1723	1511	860	930	985	708	793	940
gene-ACX60_RS09255	NZ_CP012004.1	1960765	1961661	-	897	538	673	907	657	512	809	709	692	869
gene-ACX60_RS09260	NZ_CP012004.1	1961899	1962795	-	897	71	140	225	159	127	161	128	172	144
gene-ACX60_RS09265	NZ_CP012004.1	1963573	1963794	-	222	153	261	387	324	262	340	282	265	277
gene-ACX60_RS09270	NZ_CP012004.1	1963886	1964071	-	186	156	230	416	304	248	339	229	187	281
gene-ACX60_RS09275	NZ_CP012004.1	1964485	1965903	+	1419	2063	3067	3099	3156	4364	3317	3100	3468	2970
gene-ACX60_RS09280	NZ_CP012004.1	1965960	1968170	-	2211	454	785	852	765	638	930	649	666	722
gene-ACX60_RS09285	NZ_CP012004.1	1968689	1969975	+	1287	189	306	242	131	107	154	139	101	123
gene-ACX60_RS09290	NZ_CP012004.1	1970015	1970296	-	282	13	19	23	10	14	4	11	8	18
gene-ACX60_RS09295	NZ_CP012004.1	1970280	1971278	-	999	88	137	166	113	104	112	100	109	119
gene-ACX60_RS09300	NZ_CP012004.1	1971275	1972114	-	840	65	163	174	96	83	79	65	68	97
gene-ACX60_RS09305	NZ_CP012004.1	1972116	1972970	-	855	92	121	110	120	74	107	64	72	79
gene-ACX60_RS09310	NZ_CP012004.1	1973005	1974435	-	1431	87	111	133	112	75	98	78	75	59
gene-ACX60_RS09315	NZ_CP012004.1	1974455	1974700	-	246	17	17	16	11	11	9	11	25	10
gene-ACX60_RS09320	NZ_CP012004.1	1974721	1976454	-	1734	90	147	136	108	104	97	80	108	110
gene-ACX60_RS09325	NZ_CP012004.1	1976483	1977226	-	744	45	36	42	33	46	29	29	36	50
gene-ACX60_RS09330	NZ_CP012004.1	1977468	1978817	+	1350	101	198	199	118	107	128	176	179	183
gene-ACX60_RS09335	NZ_CP012004.1	1978901	1979509	-	609	110	190	218	109	109	151	139	154	192
gene-ACX60_RS19145	NZ_CP012004.1	1979605	1980000	+	396	70	93	123	100	102	127	63	85	97
gene-ACX60_RS09345	NZ_CP012004.1	1979997	1980851	-	855	299	419	495	332	389	318	292	321	363
gene-ACX60_RS09350	NZ_CP012004.1	1981018	1981935	+	918	13	50	69	28	41	45	32	57	39
gene-ACX60_RS09355	NZ_CP012004.1	1981968	1982972	-	1005	42	40	48	54	28	47	48	43	50
gene-ACX60_RS09360	NZ_CP012004.1	1983082	1983873	-	792	156	194	150	157	180	164	152	164	199
gene-ACX60_RS09365	NZ_CP012004.1	1984049	1985227	-	1179	138	292	218	213	226	216	138	235	230
gene-ACX60_RS19870	NZ_CP012004.1	1985196	1985704	-	509	38	58	81	63	52	47	63	66	73
gene-ACX60_RS09370	NZ_CP012004.1	1985714	1986409	-	696	18	31	58	28	34	29	34	34	20
gene-ACX60_RS09375	NZ_CP012004.1	1986602	1987873	+	1272	181	413	421	332	211	319	264	278	275
gene-ACX60_RS09380	NZ_CP012004.1	1987943	1988854	+	912	170	271	328	248	185	240	273	197	206
gene-ACX60_RS09385	NZ_CP012004.1	1988902	1989960	-	1059	162	199	246	109	180	132	100	106	140
gene-ACX60_RS09390	NZ_CP012004.1	1989990	1990775	-	786	28	36	57	32	22	29	27	16	22
gene-ACX60_RS09395	NZ_CP012004.1	1990802	1992205	-	1404	202	333	305	216	214	227	164	176	270
gene-ACX60_RS09400	NZ_CP012004.1	1992216	1993751	-	1536	351	380	452	304	320	367	256	287	375
gene-ACX60_RS09405	NZ_CP012004.1	1993753	1994772	-	1020	64	96	108	74	81	64	31	36	37
gene-ACX60_RS09410	NZ_CP012004.1	1994786	1995748	-	963	50	84	56	44	70	22	28	30	37
gene-ACX60_RS09415	NZ_CP012004.1	1996113	1997099	+	987	38	60	65	56	52	30	25	38	54
gene-ACX60_RS09420	NZ_CP012004.1	1997257	1998396	+	1140	123	173	179	151	132	160	115	92	149
gene-ACX60_RS09425	NZ_CP012004.1	1998443	1999195	-	753	450	764	762	619	492	583	627	646	930
gene-ACX60_RS09430	NZ_CP012004.1	1999516	2000745	+	1230	155	215	275	223	188	270	299	236	332
gene-ACX60_RS09435	NZ_CP012004.1	2000842	2001933	-	1092	1795	2698	2643	2288	2339	2226	1708	2052	2132
gene-ACX60_RS09440	NZ_CP012004.1	2001946	2002950	-	1005	1083	1760	2033	1441	1346	1790	1394	1460	1473
gene-ACX60_RS09445	NZ_CP012004.1	2003187	2004392	-	1206	815	1459	1256	898	912	1017	756	781	954
gene-ACX60_RS09450	NZ_CP012004.1	2004429	2005616	-	1188	1113	1634	1647	1172	1161	1358	928	1057	1045
gene-ACX60_RS09455	NZ_CP012004.1	2005632	2006483	-	852	2552	4116	3901	3472	3488	3567	2541	3124	3429
gene-ACX60_RS09460	NZ_CP012004.1	2006513	2006899	-	387	692	1215	1276	912	868	1096	759	835	917
gene-ACX60_RS09465	NZ_CP012004.1	2006892	2007152	-	261	711	977	1346	991	953	1294	893	838	994
gene-ACX60_RS19520	NZ_CP012004.1	2007640	2007804	+	165	197	302	410	236	190	302	384	263	445
gene-ACX60_RS09475	NZ_CP012004.1	2007875	2008216	-	342	134	197	301	184	124	186	178	175	280
gene-ACX60_RS09480	NZ_CP012004.1	2008347	2008613	-	267	0	0	0	4	0	2	10	2	0
gene-ACX60_RS09485	NZ_CP012004.1	2009116	2010240	-	1125	862	1262	1510	1188	1145	1444	1377	1474	1563
gene-ACX60_RS09490	NZ_CP012004.1	2010546	2011142	-	597	582	1096	1139	1197	1019	1190	966	953	1033
gene-ACX60_RS09495	NZ_CP012004.1	2011152	2011481	-	330	705	1421	1565	1186	1170	1453	952	1110	1182
gene-ACX60_RS09500	NZ_CP012004.1	2011747	2011983	-	237	14	24	42	53	23	33	31	26	18
gene-ACX60_RS09505	NZ_CP012004.1	2012161	2013348	-	1188	1494	2528	2753	1935	1632	2297	1734	1908	1997
gene-ACX60_RS09510	NZ_CP012004.1	2013482	2014567	+	1086	100	161	231	147	130	142	135	126	164
gene-ACX60_RS09515	NZ_CP012004.1	2014648	2015415	-	768	21	24	27	6	6	18	25	22	24
gene-ACX60_RS09520	NZ_CP012004.1	2015590	2015964	-	375	15	22	37	16	18	16	28	27	19
gene-ACX60_RS09525	NZ_CP012004.1	2016143	2016367	-	225	65	103	143	52	41	58	77	89	147
gene-ACX60_RS09530	NZ_CP012004.1	2016867	2017067	-	201	39	103	93	64	78	66	58	44	71
gene-ACX60_RS09535	NZ_CP012004.1	2017198	2017623	-	426	56	76	81	56	55	44	39	28	47
gene-ACX60_RS09540	NZ_CP012004.1	2017888	2018157	+	270	1472	2306	1992	1395	1461	1390	1150	1184	1269
gene-ACX60_RS09545	NZ_CP012004.1	2018176	2018589	+	414	2828	4132	5057	3080	2571	3563	2954	3053	3434
gene-ACX60_RS09550	NZ_CP012004.1	2018844	2019950	+	1107	208	380	436	307	197	376	200	214	283
gene-ACX60_RS09555	NZ_CP012004.1	2020059	2020649	-	591	865	1428	1426	1225	1195	1389	605	640	694
gene-ACX60_RS09560	NZ_CP012004.1	2020749	2021210	-	462	90	122	166	108	80	160	107	123	148
gene-ACX60_RS09565	NZ_CP012004.1	2021250	2022119	+	870	1099	1598	1709	1888	1763	2012	1422	1769	1774
gene-ACX60_RS09570	NZ_CP012004.1	2022169	2023287	-	1119	83	118	141	119	103	96	125	132	160
gene-ACX60_RS09575	NZ_CP012004.1	2023292	2024416	-	1125	137	158	167	122	100	108	139	209	255
gene-ACX60_RS09580	NZ_CP012004.1	2024427	2026184	-	1758	100	154	216	126	114	109	147	170	193
gene-ACX60_RS09585	NZ_CP012004.1	2026177	2027199	-	1023	53	82	83	42	44	24	56	67	75
gene-ACX60_RS09590	NZ_CP012004.1	2027318	2027965	+	648	240	301	432	264	221	222	327	343	391
gene-ACX60_RS09595	NZ_CP012004.1	2027962	2029137	-	1176	636	1019	1169	828	695	828	712	791	975
gene-ACX60_RS09600	NZ_CP012004.1	2029359	2031494	+	2136	580	870	1102	907	669	894	863	685	850
gene-ACX60_RS09605	NZ_CP012004.1	2031557	2031856	+	300	18	31	53	41	35	40	43	57	50
gene-ACX60_RS09610	NZ_CP012004.1	2031849	2033405	+	1557	178	258	210	269	243	289	243	293	242
gene-ACX60_RS09615	NZ_CP012004.1	2033402	2033704	+	303	10	16	19	8	12	31	18	9	26
gene-ACX60_RS09620	NZ_CP012004.1	2033837	2034724	+	888	3222	5180	3952	3517	4104	3403	2812	3024	3512
gene-ACX60_RS09625	NZ_CP012004.1	2034821	2035930	+	1110	4903	7318	7111	5656	5512	6068	5116	6061	5588
gene-ACX60_RS09630	NZ_CP012004.1	2036007	2036750	-	744	52	101	94	84	90	81	88	79	91
gene-ACX60_RS09635	NZ_CP012004.1	2036857	2038425	-	1569	150	242	283	216	227	262	163	238	221
gene-ACX60_RS09640	NZ_CP012004.1	2038550	2039149	-	600	397	529	577	355	322	381	368	414	527
gene-ACX60_RS09645	NZ_CP012004.1	2039142	2040197	-	1056	1158	1728	1832	1213	1106	1345	1060	1257	1406
gene-ACX60_RS09650	NZ_CP012004.1	2040199	2040717	-	519	236	367	459	283	269	291	278	315	317
gene-ACX60_RS09655	NZ_CP012004.1	2040705	2041331	-	627	79	112	144	114	113	141	101	110	119
gene-ACX60_RS09660	NZ_CP012004.1	2041436	2043583	-	2148	1097	1533	2028	1252	1223	1547	774	788	923
gene-ACX60_RS09665	NZ_CP012004.1	2043914	2044534	-	621	24	32	60	20	28	40	20	12	34
gene-ACX60_RS09670	NZ_CP012004.1	2044670	2045008	-	339	10	8	11	9	9	10	11	19	16
gene-ACX60_RS09675	NZ_CP012004.1	2045005	2046528	-	1524	92	128	166	85	92	129	113	113	154
gene-ACX60_RS09680	NZ_CP012004.1	2046529	2046822	-	294	14	26	10	4	6	17	10	20	12
gene-ACX60_RS09685	NZ_CP012004.1	2046907	2049225	-	2319	631	906	856	808	878	811	899	903	983
gene-ACX60_RS09690	NZ_CP012004.1	2049311	2049928	-	618	40	86	85	55	62	70	44	65	74
gene-ACX60_RS09695	NZ_CP012004.1	2049915	2050685	-	771	95	110	122	99	91	130	82	90	161
gene-ACX60_RS09700	NZ_CP012004.1	2050698	2052608	-	1911	290	457	610	404	366	442	421	399	522
gene-ACX60_RS09705	NZ_CP012004.1	2052618	2054459	-	1842	339	524	651	427	310	492	416	418	526
gene-ACX60_RS09710	NZ_CP012004.1	2054471	2055910	-	1440	139	140	135	133	125	119	146	116	171
gene-ACX60_RS09715	NZ_CP012004.1	2055931	2057364	-	1434	64	63	112	80	73	119	83	75	88
gene-ACX60_RS09720	NZ_CP012004.1	2057357	2059141	-	1785	42	100	100	81	82	72	54	64	89
gene-ACX60_RS09725	NZ_CP012004.1	2059515	2059979	-	465	20	26	62	22	4	30	14	35	24
gene-ACX60_RS09730	NZ_CP012004.1	2060170	2060472	+	303	195	347	414	218	175	231	231	246	259
gene-ACX60_RS09735	NZ_CP012004.1	2060709	2062082	+	1374	2264	3618	3213	2836	3028	2894	2494	2610	2905
gene-ACX60_RS09740	NZ_CP012004.1	2062312	2063595	+	1284	119	138	174	111	75	116	77	97	81
gene-ACX60_RS09745	NZ_CP012004.1	2063617	2064822	+	1206	193	262	210	131	143	163	126	135	204
gene-ACX60_RS09750	NZ_CP012004.1	2064938	2066161	-	1224	141	160	197	132	118	154	115	101	183
gene-ACX60_RS09755	NZ_CP012004.1	2066333	2067298	+	966	153	226	283	173	96	177	155	196	258
gene-ACX60_RS09760	NZ_CP012004.1	2067337	2069202	-	1866	5122	7712	8694	7102	6530	8395	7899	8367	8669
gene-ACX60_RS09765	NZ_CP012004.1	2069334	2069606	-	273	350	634	915	445	390	617	505	446	499
gene-ACX60_RS09770	NZ_CP012004.1	2069776	2070231	-	456	47	91	143	66	41	105	83	79	56
gene-ACX60_RS09775	NZ_CP012004.1	2070442	2071089	+	648	334	489	746	398	341	519	590	647	666
gene-ACX60_RS09780	NZ_CP012004.1	2071200	2071673	+	474	2109	2913	2995	2694	2937	2300	3006	3633	3808
gene-ACX60_RS09785	NZ_CP012004.1	2071675	2072892	+	1218	3404	5032	5613	4403	4070	4767	6145	7062	6788
gene-ACX60_RS09790	NZ_CP012004.1	2072959	2073345	+	387	2694	4403	4444	2654	2529	2937	3397	3854	3465
gene-ACX60_RS09795	NZ_CP012004.1	2073376	2073696	+	321	794	1251	1329	915	886	880	1165	1239	1267
gene-ACX60_RS09800	NZ_CP012004.1	2073782	2074300	+	519	749	1223	1596	1018	753	1208	1383	1332	1371
gene-ACX60_RS09805	NZ_CP012004.1	2074339	2076198	+	1860	5877	9206	8825	7149	6700	7474	8274	8939	9458
gene-ACX60_RS09810	NZ_CP012004.1	2076217	2076555	+	339	415	603	667	418	422	483	483	420	629
gene-ACX60_RS09815	NZ_CP012004.1	2076602	2078071	-	1470	765	1174	1372	1111	795	1182	1612	1424	1512
gene-ACX60_RS09820	NZ_CP012004.1	2078124	2078558	-	435	1281	2001	2210	1744	1502	2084	2187	2064	2219
gene-ACX60_RS09825	NZ_CP012004.1	2078759	2082220	-	3462	2063	3120	3298	2380	2598	2357	2259	2538	2800
gene-ACX60_RS09830	NZ_CP012004.1	2082355	2082711	-	357	67	112	210	74	67	118	70	94	95
gene-ACX60_RS09835	NZ_CP012004.1	2082791	2083723	-	933	240	395	536	274	246	349	289	336	391
gene-ACX60_RS09840	NZ_CP012004.1	2083869	2084651	-	783	84	130	158	119	106	118	105	98	121
gene-ACX60_RS09845	NZ_CP012004.1	2084676	2085182	-	507	173	244	221	200	154	206	132	150	168
gene-ACX60_RS09850	NZ_CP012004.1	2085195	2085860	-	666	43	82	107	24	38	54	39	58	62
gene-ACX60_RS09855	NZ_CP012004.1	2086073	2086339	+	267	175	396	895	349	305	675	329	265	345
gene-ACX60_RS09860	NZ_CP012004.1	2086396	2087130	-	735	393	707	676	512	454	610	555	540	754
gene-ACX60_RS09865	NZ_CP012004.1	2087188	2088045	-	858	229	492	467	358	292	429	389	462	440
gene-ACX60_RS09870	NZ_CP012004.1	2088355	2088723	+	369	34	41	77	32	31	54	44	48	58
gene-ACX60_RS09875	NZ_CP012004.1	2088777	2089436	-	660	199	311	324	226	190	284	248	276	245
gene-ACX60_RS09880	NZ_CP012004.1	2089544	2091274	-	1731	878	1417	1542	765	719	919	725	790	1033
gene-ACX60_RS09885	NZ_CP012004.1	2091287	2092429	-	1143	1014	1364	1414	738	787	816	747	733	947
gene-ACX60_RS09890	NZ_CP012004.1	2092437	2093375	-	939	818	1237	1328	640	637	707	627	628	847
gene-ACX60_RS09895	NZ_CP012004.1	2093388	2095421	-	2034	1428	2138	2494	1026	1072	1191	940	1132	1453
gene-ACX60_RS09900	NZ_CP012004.1	2095422	2097245	-	1824	1035	1592	1553	789	714	889	702	768	949
gene-ACX60_RS09905	NZ_CP012004.1	2097261	2099051	-	1791	557	967	1145	491	472	520	472	529	644
gene-ACX60_RS19525	NZ_CP012004.1	2099214	2099306	+	93	1	1	6	4	0	2	1	0	1
gene-ACX60_RS09910	NZ_CP012004.1	2099827	2102526	+	2700	227	322	373	229	251	283	287	269	329
gene-ACX60_RS09915	NZ_CP012004.1	2102635	2103351	+	717	123	180	186	120	88	110	92	116	133
gene-ACX60_RS09920	NZ_CP012004.1	2103392	2104273	+	882	240	317	391	227	255	258	241	229	307
gene-ACX60_RS09925	NZ_CP012004.1	2104289	2104711	+	423	46	103	64	33	64	98	48	69	70
gene-ACX60_RS09930	NZ_CP012004.1	2104731	2105144	+	414	67	103	157	74	49	95	86	93	83
gene-ACX60_RS09935	NZ_CP012004.1	2105211	2105660	-	450	8	31	51	14	14	8	24	23	15
gene-ACX60_RS09940	NZ_CP012004.1	2105763	2107928	-	2166	1702	3042	3576	2044	2075	2770	2669	3238	2751
gene-ACX60_RS09945	NZ_CP012004.1	2108390	2108587	-	198	1	9	6	4	3	6	12	4	4
gene-ACX60_RS09950	NZ_CP012004.1	2108823	2109185	-	363	11	8	18	1	5	5	7	4	4
gene-ACX60_RS09955	NZ_CP012004.1	2109182	2109730	-	549	15	22	30	24	38	14	24	12	35
gene-ACX60_RS09960	NZ_CP012004.1	2109714	2109953	-	240	0	2	0	0	0	3	0	0	2
gene-ACX60_RS09965	NZ_CP012004.1	2110006	2110785	-	780	38	44	56	42	25	41	69	33	63
gene-ACX60_RS09970	NZ_CP012004.1	2110788	2112644	-	1857	60	90	142	80	100	124	58	82	106
gene-ACX60_RS09975	NZ_CP012004.1	2112705	2115563	-	2859	202	326	387	195	181	246	337	272	296
gene-ACX60_RS19875	NZ_CP012004.1	2115560	2115880	-	321	13	13	10	9	20	16	12	7	13
gene-ACX60_RS09985	NZ_CP012004.1	2115877	2116383	-	507	81	132	173	92	83	113	125	137	137
gene-ACX60_RS09990	NZ_CP012004.1	2116376	2116858	-	483	71	104	99	68	64	93	51	90	80
gene-ACX60_RS09995	NZ_CP012004.1	2116866	2120453	-	3588	253	411	555	324	290	446	458	415	487
gene-ACX60_RS10000	NZ_CP012004.1	2120513	2120896	-	384	5	8	20	10	13	10	6	9	7
gene-ACX60_RS19880	NZ_CP012004.1	2120935	2121150	-	216	1	2	3	0	2	11	6	4	0
gene-ACX60_RS10010	NZ_CP012004.1	2121186	2121602	-	417	16	21	32	17	11	23	29	32	22
gene-ACX60_RS10015	NZ_CP012004.1	2121602	2122081	-	480	31	35	23	26	2	34	15	26	32
gene-ACX60_RS10020	NZ_CP012004.1	2122151	2122525	-	375	7	21	16	12	11	12	11	6	9
gene-ACX60_RS10025	NZ_CP012004.1	2122525	2123010	-	486	16	19	18	8	16	18	12	7	19
gene-ACX60_RS10030	NZ_CP012004.1	2123014	2123370	-	357	6	9	8	2	5	16	14	17	7
gene-ACX60_RS10035	NZ_CP012004.1	2123372	2123659	-	288	1	3	4	2	0	5	0	0	0
gene-ACX60_RS19735	NZ_CP012004.1	2123656	2123832	-	177	0	0	4	0	4	2	1	3	1
gene-ACX60_RS10040	NZ_CP012004.1	2123880	2125052	-	1173	26	55	54	31	38	27	39	32	34
gene-ACX60_RS10045	NZ_CP012004.1	2125045	2125707	-	663	11	16	10	8	4	12	13	8	12
gene-ACX60_RS10050	NZ_CP012004.1	2125700	2126926	-	1227	32	50	54	68	33	24	50	41	67
gene-ACX60_RS10055	NZ_CP012004.1	2126923	2128623	-	1701	14	37	22	18	22	26	33	28	17
gene-ACX60_RS10060	NZ_CP012004.1	2128746	2128940	-	195	4	0	6	2	6	4	2	0	2
gene-ACX60_RS10065	NZ_CP012004.1	2128950	2129432	-	483	14	14	10	10	0	2	10	6	12
gene-ACX60_RS10070	NZ_CP012004.1	2129557	2129853	-	297	2	6	2	1	2	0	0	6	0
gene-ACX60_RS19155	NZ_CP012004.1	2129783	2130073	-	291	4	3	0	0	1	2	2	2	3
gene-ACX60_RS10075	NZ_CP012004.1	2130051	2130314	-	264	4	0	0	1	0	0	1	0	0
gene-ACX60_RS10080	NZ_CP012004.1	2130307	2130489	-	183	0	0	0	0	0	0	2	0	0
gene-ACX60_RS10085	NZ_CP012004.1	2130479	2131009	-	531	4	8	11	6	5	2	2	4	10
gene-ACX60_RS10090	NZ_CP012004.1	2131025	2131423	-	399	0	0	0	4	1	6	2	6	4
gene-ACX60_RS10095	NZ_CP012004.1	2131507	2131935	-	429	19	72	82	58	40	76	58	45	43
gene-ACX60_RS20080	NZ_CP012004.1	2132149	2132271	+	123	25	18	10	13	23	8	13	16	15
gene-ACX60_RS19740	NZ_CP012004.1	2132260	2132430	-	171	3	4	3	2	4	3	3	7	4
gene-ACX60_RS10100	NZ_CP012004.1	2132448	2132810	-	363	15	39	36	13	30	16	11	13	19
gene-ACX60_RS10105	NZ_CP012004.1	2132836	2133552	-	717	131	213	284	127	96	174	139	102	100
gene-ACX60_RS10110	NZ_CP012004.1	2133643	2134143	-	501	18	16	25	14	16	28	30	16	14
gene-ACX60_RS19745	NZ_CP012004.1	2134140	2134310	-	171	0	0	0	0	0	0	0	2	0
gene-ACX60_RS10115	NZ_CP012004.1	2134307	2134909	-	603	14	8	11	0	4	16	6	12	11
gene-ACX60_RS10120	NZ_CP012004.1	2134906	2135184	-	279	0	6	1	0	0	1	0	2	0
gene-ACX60_RS10125	NZ_CP012004.1	2135181	2136512	-	1332	9	14	15	14	16	10	14	8	10
gene-ACX60_RS10130	NZ_CP012004.1	2136512	2137396	-	885	2	14	13	18	9	8	4	10	8
gene-ACX60_RS10135	NZ_CP012004.1	2137396	2137692	-	297	0	3	6	4	2	2	4	2	0
gene-ACX60_RS10145	NZ_CP012004.1	2138064	2138729	+	666	138	253	322	317	259	316	212	219	244
gene-ACX60_RS10150	NZ_CP012004.1	2138984	2139421	+	438	8	12	18	10	4	11	12	10	7
gene-ACX60_RS10155	NZ_CP012004.1	2139414	2139686	+	273	2	0	4	2	1	2	8	2	2
gene-ACX60_RS19775	NZ_CP012004.1	2139689	2140321	+	633	47	58	103	54	50	75	81	55	70
gene-ACX60_RS10170	NZ_CP012004.1	2140544	2140807	+	264	91	96	126	87	78	99	116	103	122
gene-ACX60_RS10175	NZ_CP012004.1	2140819	2141349	+	531	26	40	43	16	20	38	25	25	50
gene-ACX60_RS10180	NZ_CP012004.1	2141353	2141835	+	483	30	47	56	27	42	52	25	26	55
gene-ACX60_RS10185	NZ_CP012004.1	2141832	2142101	+	270	18	7	7	4	5	7	7	3	7
gene-ACX60_RS10190	NZ_CP012004.1	2142094	2142345	+	252	9	3	13	4	17	10	2	9	3
gene-ACX60_RS10195	NZ_CP012004.1	2142311	2143270	-	960	62	128	108	70	83	106	99	106	117
gene-ACX60_RS10200	NZ_CP012004.1	2143447	2144589	-	1143	2722	4075	4122	3474	3511	4024	4318	4774	4795
gene-ACX60_RS10205	NZ_CP012004.1	2144673	2145692	-	1020	161	227	241	170	131	217	279	333	369
gene-ACX60_RS10210	NZ_CP012004.1	2145814	2147361	+	1548	125	146	239	169	144	208	165	175	234
gene-ACX60_RS10215	NZ_CP012004.1	2147411	2148322	+	912	285	418	514	354	321	486	559	615	599
gene-ACX60_RS10220	NZ_CP012004.1	2148319	2149017	-	699	373	650	895	534	483	723	656	687	634
gene-ACX60_RS10225	NZ_CP012004.1	2149183	2149548	-	366	1315	1873	2286	2093	1954	2486	1701	1752	1853
gene-ACX60_RS10230	NZ_CP012004.1	2149573	2149875	-	303	3996	6178	6630	7080	6826	7556	4230	4924	5615
gene-ACX60_RS10235	NZ_CP012004.1	2150032	2151705	-	1674	151549	209871	218870	215816	200595	239519	220119	259249	256274
gene-ACX60_RS10240	NZ_CP012004.1	2151810	2152496	-	687	10121	14512	16315	14103	13775	14859	10283	12456	13392
gene-ACX60_RS10245	NZ_CP012004.1	2152504	2152947	-	444	146	187	356	204	195	275	201	179	244
gene-ACX60_RS10250	NZ_CP012004.1	2153017	2153520	-	504	242	559	552	439	339	512	388	400	442
gene-ACX60_RS10255	NZ_CP012004.1	2153527	2154651	-	1125	5103	8378	8160	6528	7521	7097	4658	5191	6292
gene-ACX60_RS10260	NZ_CP012004.1	2154648	2155361	-	714	1250	1845	2579	1825	1758	2037	1535	1469	1885
gene-ACX60_RS10265	NZ_CP012004.1	2155412	2156008	-	597	444	767	987	863	613	930	1028	987	977
gene-ACX60_RS10270	NZ_CP012004.1	2156238	2157197	-	960	83	133	161	97	94	151	131	179	137
gene-ACX60_RS10275	NZ_CP012004.1	2157197	2157898	-	702	66	70	161	78	47	124	154	94	136
gene-ACX60_RS10280	NZ_CP012004.1	2157898	2158278	-	381	58	66	54	50	62	60	60	67	63
gene-ACX60_RS10285	NZ_CP012004.1	2158268	2158822	-	555	51	83	78	87	97	124	115	98	115
gene-ACX60_RS10290	NZ_CP012004.1	2158832	2159440	-	609	423	637	632	493	522	626	516	402	662
gene-ACX60_RS10295	NZ_CP012004.1	2159478	2160251	-	774	621	1082	1321	858	741	1034	937	870	1021
gene-ACX60_RS10300	NZ_CP012004.1	2160269	2160610	-	342	28	54	99	37	26	57	41	45	56
